Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,74,-136.225,90,bottom
C2,100nF,C_0603_1608Metric,94,-136.225,90,bottom
C3,100nF,C_0603_1608Metric,114,-136.225,90,bottom
C4,100nF,C_0603_1608Metric,134,-136.225,90,bottom
C5,100nF,C_0603_1608Metric,154,-136.225,90,bottom
C6,100nF,C_0603_1608Metric,174,-136.225,90,bottom
C7,100nF,C_0603_1608Metric,194,-136.225,90,bottom
C8,100nF,C_0603_1608Metric,214,-136.225,90,bottom
C9,100nF,C_0603_1608Metric,234,-136.225,90,bottom
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,80,-135,0,bottom
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,100,-135,0,bottom
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120,-135,0,bottom
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,140,-135,0,bottom
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,160,-135,0,bottom
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,180,-135,0,bottom
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,200,-135,0,bottom
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,220,-135,0,bottom
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,240,-135,0,bottom
Q1,2N7002,SOT-23_Handsoldering,85,-104,180,bottom
Q2,2N7002,SOT-23_Handsoldering,157,-104,180,bottom
Q3,2N7002,SOT-23_Handsoldering,229,-104,180,bottom
R1,82,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,84.875,-107,180,bottom
R2,82,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,156.875,-107,180,bottom
R3,82,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,228.875,-107,180,bottom
R4,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,91.875,-105,0,bottom
R5,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,163.875,-105,0,bottom
R6,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,235.875,-105,0,bottom
