Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,74,-133.775,270,top
C2,100nF,C_0603_1608Metric,94,-133.775,270,top
C3,100nF,C_0603_1608Metric,114,-133.775,270,top
C4,100nF,C_0603_1608Metric,134,-133.775,270,top
C5,100nF,C_0603_1608Metric,154,-133.775,270,top
C6,100nF,C_0603_1608Metric,174,-133.775,270,top
C7,100nF,C_0603_1608Metric,194,-133.775,270,top
C8,100nF,C_0603_1608Metric,214,-133.775,270,top
C9,100nF,C_0603_1608Metric,234,-133.775,270,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,80,-135,0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,100,-135,0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120,-135,0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,140,-135,0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,160,-135,0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,180,-135,0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,200,-135,0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,220,-135,0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,240,-135,0,top
Q1,2N7002,SOT-23_Handsoldering,91,-104,0,top
Q2,2N7002,SOT-23_Handsoldering,163,-104,0,top
Q3,2N7002,SOT-23_Handsoldering,235,-104,0,top
R1,82,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,91.125,-107,0,top
R2,82,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,163,-107,0,top
R3,82,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,235,-107,0,top
R4,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,84.125,-105,180,top
R5,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,156.125,-105,180,top
R6,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,228.125,-105,180,top
