Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,-28.715,-140.97,0,top
C2,100nF,C_0603_1608Metric,325.615,-140.97,0,top
C3,100nF,C_0603_1608Metric,207.505,-140.97,0,top
C4,100nF,C_0603_1608Metric,89.395,-140.97,0,top
C5,100nF,C_0603_1608Metric,-72.5,-130.75,0,top
C6,100nF,C_0603_1608Metric,-57.75,-130.75,0,top
C7,100nF,C_0603_1608Metric,-42.975,-130.75,0,top
C8,100nF,C_0603_1608Metric,-28.225,-130.75,0,top
C9,100nF,C_0603_1608Metric,-13.475,-130.75,0,top
C10,100nF,C_0603_1608Metric,1.275,-130.75,0,top
C11,100nF,C_0603_1608Metric,16.025,-130.75,0,top
C12,100nF,C_0603_1608Metric,30.775,-130.75,0,top
C13,100nF,C_0603_1608Metric,45.525,-130.75,0,top
C14,100nF,C_0603_1608Metric,60.275,-130.75,0,top
C15,100nF,C_0603_1608Metric,75.025,-130.75,0,top
C16,100nF,C_0603_1608Metric,89.775,-130.75,0,top
C17,100nF,C_0603_1608Metric,104.525,-130.75,0,top
C18,100nF,C_0603_1608Metric,119.275,-130.75,0,top
C19,100nF,C_0603_1608Metric,134.025,-130.75,0,top
C20,100nF,C_0603_1608Metric,148.775,-130.75,0,top
C21,100nF,C_0603_1608Metric,163.525,-130.75,0,top
C22,100nF,C_0603_1608Metric,178.275,-130.75,0,top
C23,100nF,C_0603_1608Metric,193.025,-130.75,0,top
C24,100nF,C_0603_1608Metric,207.775,-130.75,0,top
C25,100nF,C_0603_1608Metric,222.525,-130.75,0,top
C26,100nF,C_0603_1608Metric,237.275,-130.75,0,top
C27,100nF,C_0603_1608Metric,252.025,-130.75,0,top
C28,100nF,C_0603_1608Metric,266.775,-130.75,0,top
C29,100nF,C_0603_1608Metric,281.525,-130.75,0,top
C30,100nF,C_0603_1608Metric,296.275,-130.75,0,top
C31,100nF,C_0603_1608Metric,311.025,-130.75,0,top
C32,100nF,C_0603_1608Metric,325.775,-130.75,0,top
C33,100nF,C_0603_1608Metric,340.525,-130.75,0,top
C34,100nF,C_0603_1608Metric,355.275,-130.75,0,top
C35,100nF,C_0603_1608Metric,370.025,-130.75,0,top
D1,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-73.25,-127,180,top
D2,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-58.5,-127,180,top
D3,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-43.75,-127,180,top
D4,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-29,-127,180,top
D5,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-14.25,-127,180,top
D6,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,0.5,-127,180,top
D7,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,15.25,-127,180,top
D8,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,30,-127,180,top
D9,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,44.75,-127,180,top
D10,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,59.5,-127,180,top
D11,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,74.25,-127,180,top
D12,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,89,-127,180,top
D13,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.75,-127,180,top
D14,WS2812B-B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,118.5,-127,180,top
